state_code,state
1000,Non USA
1001,N/A
1002,Other States
1003,Alaska
1004,Alabama
1005,Arkansas
1006,Arizona
1007,California
1008,Colorado
1009,Connecticut
1010,Dist. of Columbia
1011,Delaware
1012,Florida
1013,Georgia
1014,Hawaii
1015,Iowa
1016,Idaho
1017,Illinois
1018,Indiana
1019,Kansas
1020,Kentucky
1021,Louisiana
1022,Massachusetts
1023,Maryland
1024,Maine
1025,Michigan
1026,Minnesota
1027,Missouri
1028,Mississippi
1029,Montana
1030,North Carolina
1031,North Dakota
1032,Nebraska
1033,New Hampshire
1034,New Jersey
1035,New Mexico
1036,Nevada
1037,New York
1038,Ohio
1039,Oklahoma
1040,Oregon
1041,Pennsylvania
1042,Puerto Rico
1043,Rhode Island
1044,South Carolina
1045,South Dakota
1046,Tennessee
1047,Texas
1048,Utah
1049,Virginia
1050,U.S. Virgin Is.
1051,Vermont
1052,"Washington, state"
1053,Wisconsin
1054,West Virginia
1055,Wyoming